ANNEE;CAMPAGNE;MOIS;SEMAINE;ESPECES;DETAIL;COTATION (€/t)
2021;2020/21;Janvier;4;Colza;Ville A;438
2021;2020/21;Janvier;4;Colza;Ville B;437
2021;2020/21;Janvier;4;Colza;Ville C;443
2021;2020/21;Janvier;4;Colza;Ville D;438
2021;2020/21;Janvier;4;Colza;Ville E;440
2021;2020/21;Janvier;4;Soja;Ville F;482
2021;2020/21;Janvier;4;Tournesol;Ville F;515
2021;2020/21;Janvier;4;Tournesol;Ville A;511
2021;2020/21;Janvier;4;Tournesol;Ville B;530
2021;2020/21;Janvier;4;Tournesol;Ville G;517
2021;2020/21;Janvier;4;Tournesol;Ville H;528
2021;2020/21;Janvier;4;Tourteaux de soja;Ville I;
2021;2020/21;Janvier;4;Tourteaux de soja;Ville J;
2021;2020/21;Janvier;4;Tourteaux de soja;Ville D;
2021;2020/21;Janvier;4;Tourteaux de soja;Ville K;
2021;2020/21;Janvier;4;Tourteaux de tournesol;Ville J;336
2021;2020/21;Janvier;4;Tourteaux de tournesol;Ville D;336
2021;2020/21;Février;5;Colza;Ville A;
2021;2020/21;Février;5;Colza;Ville B;445
2021;2020/21;Février;5;Colza;Ville C;
2021;2020/21;Février;5;Colza;Ville D;
2021;2020/21;Février;5;Colza;Ville E;
2021;2020/21;Février;5;Soja;Ville F;495
2021;2020/21;Février;5;Tournesol;Ville F;437
2021;2020/21;Février;5;Tournesol;Ville A;
2021;2020/21;Février;5;Tournesol;Ville B;544
2021;2020/21;Février;5;Tournesol;Ville G;
2021;2020/21;Février;5;Tournesol;Ville H;542
2021;2020/21;Février;5;Tourteaux de soja;Ville I;
2021;2020/21;Février;5;Tourteaux de soja;Ville J;
2021;2020/21;Février;5;Tourteaux de soja;Ville D;
2021;2020/21;Février;5;Tourteaux de soja;Ville K;
2021;2020/21;Février;5;Tourteaux de tournesol;Ville J;334
2021;2020/21;Février;5;Tourteaux de tournesol;Ville D;334
2021;2020/21;Février;6;Colza;Ville A;450
2021;2020/21;Février;6;Colza;Ville B;451
2021;2020/21;Février;6;Colza;Ville C;455
2021;2020/21;Février;6;Colza;Ville D;452
2021;2020/21;Février;6;Colza;Ville E;
2021;2020/21;Février;6;Soja;Ville F;505
2021;2020/21;Février;6;Tournesol;Ville F;525
2021;2020/21;Février;6;Tournesol;Ville A;
2021;2020/21;Février;6;Tournesol;Ville B;540
2021;2020/21;Février;6;Tournesol;Ville G;527
2021;2020/21;Février;6;Tournesol;Ville H;540
2021;2020/21;Février;6;Tourteaux de soja;Ville I;
2021;2020/21;Février;6;Tourteaux de soja;Ville J;
2021;2020/21;Février;6;Tourteaux de soja;Ville D;
2021;2020/21;Février;6;Tourteaux de soja;Ville K;
2021;2020/21;Février;6;Tourteaux de tournesol;Ville J;338
2021;2020/21;Février;6;Tourteaux de tournesol;Ville D;338
2021;2020/21;Février;7;Colza;Ville A;
